TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
movie_schema,movie,movie_id,int,NO
movie_schema,movie,movie_title,varchar,NO
movie_schema,movie,movie_comment,varchar,NO
movie_schema,movie,movie_poster,varchar,NO
movie_schema,reservation,reservation_id,int,NO
movie_schema,reservation,phone_number,varchar,NO
movie_schema,reservation,movie_title,varchar,NO
movie_schema,reservation,ticket_count,int,NO
movie_schema,reservation,theater_id,varchar,NO
movie_schema,reservation,play_time,varchar,NO
movie_schema,reservation,row,varchar,NO
movie_schema,reservation,col,varchar,NO
movie_schema,reservation,seats,varchar,YES
movie_schema,theater,theater_id,varchar,NO
movie_schema,theater,play_time,varchar,NO
movie_schema,theater,movie_title,varchar,NO
movie_schema,theater,all_seats,int,NO
movie_schema,theater,rows,int,NO
movie_schema,theater,cols,int,NO
movie_schema,theater,price,int,NO
movie_schema,theater,movie_id,int,NO
